top,top_color,bottom,bottom_color,shoes,shoes_color,occasion,temperature,feels_like,weather_type,season_match,score
shirt,black,jeans,black,boots,burgundy,business,10,8,sunny,0.867,0.794
cardigan,black,jeans,black,sandals,black,business,25,23,rain,0.733,0.654
blouse,white,jeans,pink,sneakers,white,casual,15,14,rain,0.867,0.888
polo,white,jeans,red,heels,brown,party,22,24,cloudy,0.867,0.816
sweater,navy,shorts,blue,sneakers,purple,casual,12,11,cloudy,0.817,0.81
t-shirt,brown,leggings,orange,sneakers,navy,casual,5,4,cloudy,0.817,0.721
hoodie,blue,shorts,navy,oxfords,red,sport,20,18,cloudy,0.817,0.741
cardigan,red,trousers,beige,sneakers,green,date,15,11,rain,0.867,0.698
hoodie,white,trousers,gray,boots,pink,sport,15,16,sunny,0.817,0.64
cardigan,pink,jeans,pink,boots,beige,date,5,-2,snow,0.867,0.776
cardigan,beige,skirt,purple,loafers,navy,casual,15,11,rain,0.867,0.782
t-shirt,gray,shorts,burgundy,sandals,yellow,date,28,32,sunny,1.0,0.767
tank-top,green,leggings,white,loafers,beige,sport,18,15,rain,0.767,0.766
t-shirt,red,jeans,purple,loafers,orange,business,15,13,rain,0.817,0.723
cardigan,red,jeans,black,sneakers,navy,business,10,8,sunny,0.867,0.739
t-shirt,gray,shorts,gray,sandals,pink,sport,28,29,cloudy,1.0,0.834
shirt,beige,leggings,purple,loafers,gray,business,10,10,sunny,0.867,0.803
hoodie,red,jeans,navy,sneakers,red,party,18,16,sunny,0.817,0.665
blouse,purple,trousers,blue,sandals,brown,formal,20,20,sunny,0.867,0.735
blouse,pink,trousers,green,heels,orange,party,15,13,cloudy,0.867,0.777
dress,navy,none,none,boots,black,date,8,8,sunny,0.817,0.646
shirt,black,trousers,navy,oxfords,navy,casual,32,37,sunny,0.617,0.716
sweater,gray,leggings,navy,loafers,green,date,5,-3,snow,0.817,0.672
shirt,navy,shorts,black,oxfords,white,business,20,22,sunny,0.867,0.844
dress,gray,none,none,sneakers,black,sport,22,25,sunny,0.817,0.756
shirt,beige,shorts,pink,sneakers,blue,party,10,12,sunny,0.867,0.639
shirt,black,skirt,burgundy,sandals,orange,formal,25,26,sunny,0.95,0.813
blouse,gray,leggings,navy,loafers,navy,business,25,28,sunny,0.817,0.769
blazer,black,leggings,pink,loafers,black,date,25,30,sunny,0.683,0.616
tank-top,yellow,leggings,gray,sneakers,black,casual,25,30,sunny,0.9,0.821
shirt,pink,skirt,burgundy,heels,purple,formal,32,27,rain,0.867,0.811
blazer,gray,leggings,white,sneakers,white,formal,5,-1,snow,0.867,0.712
dress,navy,none,none,sandals,gray,casual,32,35,sunny,0.8,0.864
t-shirt,beige,shorts,navy,heels,navy,formal,28,31,sunny,0.917,0.723
dress,gray,none,none,heels,yellow,formal,28,29,cloudy,0.717,0.752
blazer,green,skirt,black,loafers,green,party,12,12,sunny,0.867,0.779
t-shirt,gray,skirt,white,sneakers,yellow,sport,5,5,cloudy,0.817,0.616
blazer,burgundy,jeans,black,heels,blue,party,12,10,sunny,0.867,0.823
shirt,yellow,skirt,black,sneakers,navy,date,32,33,cloudy,0.95,0.766
t-shirt,red,leggings,navy,loafers,blue,party,8,10,sunny,0.817,0.672
blazer,orange,jeans,orange,sandals,navy,formal,15,13,sunny,0.867,0.648
shirt,red,leggings,burgundy,sandals,purple,date,18,16,rain,0.867,0.642
blouse,pink,skirt,gray,oxfords,pink,formal,15,15,sunny,0.867,0.82
t-shirt,navy,sweatpants,orange,loafers,black,sport,15,14,sunny,0.817,0.712
blouse,blue,trousers,blue,heels,white,sport,15,10,rain,0.867,0.625
blazer,purple,trousers,burgundy,heels,burgundy,party,20,19,sunny,0.867,0.811
dress,purple,none,none,loafers,black,formal,10,9,sunny,0.817,0.598
shirt,white,trousers,black,heels,white,casual,15,17,sunny,0.867,0.841
hoodie,green,trousers,blue,oxfords,blue,sport,20,21,cloudy,0.817,0.581
polo,navy,jeans,green,sneakers,beige,casual,28,31,sunny,0.9,0.899
blouse,black,sweatpants,black,heels,pink,business,10,10,cloudy,0.867,0.731
dress,purple,none,none,oxfords,purple,party,20,15,rain,0.817,0.698
shirt,green,jeans,red,sandals,black,party,28,24,rain,0.85,0.7
blazer,red,jeans,gray,loafers,black,party,10,12,sunny,0.867,0.807
blazer,blue,trousers,beige,loafers,beige,formal,32,34,sunny,0.583,0.705
cardigan,purple,trousers,black,sneakers,burgundy,party,8,3,rain,0.867,0.647
blouse,black,shorts,red,sneakers,black,party,28,30,sunny,1.0,0.707
blazer,gray,skirt,black,sandals,yellow,business,18,20,cloudy,0.867,0.772
hoodie,navy,skirt,orange,oxfords,white,casual,12,13,sunny,0.817,0.763
hoodie,black,skirt,navy,heels,beige,business,5,0,snow,0.817,0.646
shirt,gray,skirt,navy,loafers,red,party,18,17,cloudy,0.867,0.754
blazer,orange,jeans,navy,loafers,white,party,10,9,cloudy,0.867,0.709
blazer,green,skirt,black,sandals,green,formal,28,31,sunny,0.867,0.689
t-shirt,yellow,trousers,purple,oxfords,red,party,25,25,cloudy,0.667,0.641
hoodie,navy,leggings,burgundy,boots,blue,date,10,8,sunny,0.817,0.763
shirt,beige,sweatpants,brown,sneakers,brown,business,22,26,sunny,0.867,0.712
shirt,green,skirt,red,loafers,beige,date,18,19,cloudy,0.867,0.819
blazer,purple,jeans,blue,boots,white,party,8,9,cloudy,0.867,0.845
t-shirt,red,trousers,black,boots,white,party,15,13,sunny,0.817,0.773
shirt,pink,leggings,blue,loafers,brown,date,32,27,rain,0.767,0.68
hoodie,navy,sweatpants,yellow,sneakers,pink,date,10,10,cloudy,0.817,0.586
blazer,burgundy,skirt,black,boots,red,date,20,18,rain,0.867,0.765
dress,orange,none,none,sandals,beige,date,32,36,sunny,0.8,0.798
dress,black,none,none,sneakers,brown,date,15,17,cloudy,0.817,0.664
hoodie,white,skirt,gray,loafers,orange,casual,18,18,cloudy,0.817,0.828
polo,burgundy,skirt,blue,oxfords,white,formal,18,19,sunny,0.867,0.889
blouse,gray,trousers,burgundy,oxfords,white,casual,20,17,rain,0.867,0.841
t-shirt,navy,jeans,yellow,sneakers,white,casual,15,17,sunny,0.817,0.893
blouse,pink,jeans,navy,boots,white,business,22,24,sunny,0.867,0.815
blazer,gray,skirt,black,loafers,orange,business,10,9,sunny,0.867,0.835
shirt,gray,trousers,yellow,sandals,navy,business,15,15,sunny,0.867,0.765
shirt,gray,trousers,black,sneakers,white,business,15,11,rain,0.867,0.858
polo,pink,trousers,navy,heels,purple,date,18,13,rain,0.867,0.789
cardigan,red,jeans,navy,sneakers,orange,party,28,32,sunny,0.733,0.585
hoodie,orange,sweatpants,pink,oxfords,blue,sport,12,7,rain,0.817,0.681
hoodie,gray,skirt,gray,loafers,black,formal,20,21,cloudy,0.817,0.738
blazer,black,skirt,purple,heels,gray,business,15,14,rain,0.867,0.806
dress,red,none,none,loafers,orange,party,2,0,cloudy,0.7,0.544
polo,white,trousers,blue,loafers,black,sport,18,17,sunny,0.867,0.708
blazer,blue,shorts,orange,loafers,navy,party,12,13,sunny,0.867,0.676
hoodie,blue,skirt,pink,loafers,black,date,18,14,rain,0.817,0.667
hoodie,black,leggings,navy,sandals,white,business,20,17,rain,0.817,0.607
dress,navy,none,none,oxfords,black,party,10,10,sunny,0.817,0.735
sweater,yellow,leggings,orange,boots,black,business,8,10,cloudy,0.817,0.743
hoodie,brown,shorts,green,sandals,black,sport,32,28,rain,0.733,0.652
blazer,black,jeans,green,heels,beige,formal,18,13,rain,0.867,0.823
blazer,white,skirt,pink,loafers,yellow,date,25,26,cloudy,0.783,0.681
blazer,yellow,leggings,beige,boots,gray,formal,2,-2,snow,1.0,0.755
shirt,beige,trousers,pink,sneakers,navy,date,20,21,sunny,0.867,0.852
blouse,brown,leggings,purple,sneakers,white,party,18,17,sunny,0.867,0.698
blazer,gray,skirt,red,oxfords,pink,party,32,34,cloudy,0.733,0.651
blouse,navy,shorts,burgundy,sandals,black,business,15,17,sunny,0.867,0.654
shirt,orange,leggings,purple,boots,gray,casual,10,5,rain,0.867,0.712
cardigan,red,leggings,pink,boots,pink,party,18,19,cloudy,0.867,0.651
shirt,navy,skirt,purple,sneakers,navy,sport,20,16,rain,0.867,0.645
tank-top,brown,skirt,white,loafers,burgundy,business,32,34,sunny,0.917,0.778
blazer,yellow,shorts,red,sneakers,red,party,15,16,sunny,0.867,0.634
t-shirt,yellow,shorts,gray,sneakers,white,sport,25,25,cloudy,1.0,0.914
dress,pink,none,none,loafers,black,party,32,33,sunny,0.717,0.761
tank-top,gray,shorts,beige,sneakers,blue,formal,22,23,sunny,0.767,0.591
polo,navy,leggings,purple,boots,yellow,date,10,11,cloudy,0.867,0.765
shirt,blue,jeans,beige,loafers,blue,business,15,15,sunny,0.867,0.794
sweater,brown,leggings,pink,oxfords,red,casual,8,6,rain,0.817,0.693
tank-top,red,trousers,burgundy,sandals,orange,party,25,28,sunny,0.8,0.696
shirt,gray,trousers,yellow,sandals,navy,casual,32,33,sunny,0.75,0.838
tank-top,brown,trousers,white,sneakers,red,sport,32,36,sunny,0.8,0.769
blouse,burgundy,leggings,black,loafers,brown,party,22,22,cloudy,0.867,0.783
shirt,navy,sweatpants,brown,oxfords,purple,casual,12,11,sunny,0.867,0.807
dress,green,none,none,sneakers,black,formal,18,19,cloudy,0.817,0.706
shirt,white,leggings,white,loafers,brown,business,18,16,rain,0.867,0.828
blazer,navy,leggings,navy,heels,navy,business,5,6,cloudy,0.867,0.778
t-shirt,navy,leggings,navy,sneakers,beige,formal,22,24,cloudy,0.817,0.668
blouse,navy,jeans,pink,sneakers,brown,formal,32,27,rain,0.9,0.637
dress,gray,none,none,loafers,burgundy,party,15,13,sunny,0.817,0.736
hoodie,gray,jeans,brown,sneakers,gray,business,2,2,cloudy,0.933,0.616
cardigan,burgundy,sweatpants,brown,oxfords,blue,sport,22,20,cloudy,0.867,0.643
hoodie,burgundy,trousers,orange,loafers,burgundy,formal,10,11,sunny,0.817,0.711
blouse,black,skirt,navy,sneakers,white,date,28,32,sunny,1.0,0.891
blouse,gray,skirt,navy,sneakers,navy,business,15,13,cloudy,0.867,0.812
sweater,white,jeans,black,loafers,purple,casual,10,7,rain,0.817,0.793
tank-top,burgundy,shorts,blue,oxfords,red,sport,32,36,sunny,0.867,0.756
blouse,yellow,jeans,black,loafers,blue,party,22,26,sunny,0.867,0.722
dress,red,none,none,sneakers,white,date,22,23,sunny,0.817,0.783
blazer,black,leggings,pink,loafers,purple,date,5,4,cloudy,0.867,0.702
t-shirt,gray,jeans,white,sneakers,pink,sport,25,24,rain,0.9,0.772
dress,blue,none,none,sneakers,red,party,28,33,sunny,0.8,0.718
dress,orange,none,none,sneakers,white,party,22,18,rain,0.817,0.709
sweater,navy,skirt,beige,boots,beige,business,8,7,cloudy,0.817,0.767
cardigan,purple,shorts,red,loafers,red,business,25,30,sunny,0.75,0.658
shirt,orange,leggings,navy,oxfords,navy,business,10,10,sunny,0.867,0.817
blouse,navy,trousers,burgundy,sneakers,blue,casual,8,6,cloudy,0.867,0.758
polo,orange,shorts,green,sandals,white,casual,32,32,cloudy,1.0,0.802
blazer,navy,shorts,navy,boots,black,date,12,13,sunny,0.867,0.749
shirt,black,trousers,black,oxfords,white,business,18,16,rain,0.867,0.979
dress,red,none,none,oxfords,black,formal,10,7,rain,0.817,0.723
shirt,navy,sweatpants,black,sneakers,red,formal,2,1,rain,0.833,0.568
blazer,pink,leggings,beige,loafers,navy,business,2,4,cloudy,0.933,0.809
tank-top,black,leggings,brown,heels,yellow,business,22,20,cloudy,0.767,0.666
blouse,gray,shorts,red,sandals,burgundy,date,32,36,sunny,1.0,0.8
dress,black,none,none,loafers,beige,date,25,22,rain,0.717,0.834
shirt,purple,trousers,purple,loafers,navy,formal,15,17,sunny,0.867,0.845
blazer,white,skirt,blue,boots,navy,casual,10,12,sunny,0.867,0.745
cardigan,navy,sweatpants,purple,boots,burgundy,sport,12,10,rain,0.867,0.656
blazer,orange,jeans,white,boots,white,sport,15,16,cloudy,0.867,0.561
dress,blue,none,none,sneakers,beige,casual,20,22,cloudy,0.817,0.74
blazer,white,jeans,green,oxfords,burgundy,party,10,8,sunny,0.867,0.75
shirt,black,jeans,black,oxfords,gray,business,15,13,sunny,0.867,0.896
tank-top,white,skirt,black,sneakers,white,business,25,30,sunny,1.0,0.763
t-shirt,white,leggings,purple,sandals,yellow,casual,25,20,rain,0.9,0.793
hoodie,beige,sweatpants,brown,sandals,gray,business,20,19,rain,0.817,0.561
shirt,orange,trousers,beige,loafers,pink,date,15,16,sunny,0.867,0.758
blazer,pink,skirt,red,heels,red,party,32,35,sunny,0.783,0.733
dress,black,none,none,sneakers,burgundy,formal,22,18,rain,0.817,0.804
cardigan,black,leggings,blue,loafers,pink,business,10,11,sunny,0.867,0.732
sweater,navy,jeans,green,loafers,black,business,22,17,rain,0.817,0.737
dress,white,none,none,loafers,white,formal,5,6,cloudy,0.817,0.642
polo,gray,shorts,blue,boots,yellow,casual,15,15,sunny,0.867,0.738
sweater,navy,leggings,green,loafers,beige,formal,5,6,cloudy,0.817,0.707
cardigan,burgundy,trousers,pink,heels,black,date,20,15,rain,0.867,0.813
t-shirt,pink,leggings,navy,heels,blue,business,25,24,cloudy,0.817,0.726
t-shirt,orange,skirt,green,sandals,beige,party,25,25,cloudy,1.0,0.778
blouse,green,trousers,green,sandals,navy,business,32,32,cloudy,0.8,0.787
hoodie,pink,leggings,gray,boots,navy,casual,10,6,rain,0.817,0.818
t-shirt,gray,leggings,white,oxfords,white,formal,20,21,sunny,0.817,0.786
tank-top,white,shorts,green,sneakers,blue,casual,25,26,sunny,1.0,0.833
blouse,yellow,leggings,white,sneakers,yellow,formal,18,17,sunny,0.867,0.683
shirt,beige,shorts,red,sandals,brown,casual,28,30,cloudy,0.95,0.857
blazer,gray,shorts,purple,sandals,black,sport,22,22,cloudy,0.867,0.682
shirt,orange,jeans,burgundy,boots,gray,formal,15,17,sunny,0.867,0.738
shirt,blue,jeans,gray,sneakers,black,sport,12,8,rain,0.867,0.728
dress,beige,none,none,sandals,black,party,32,28,rain,0.8,0.807
hoodie,brown,shorts,green,oxfords,navy,casual,22,17,rain,0.817,0.747
dress,brown,none,none,boots,black,date,8,4,rain,0.817,0.687
shirt,burgundy,jeans,brown,sneakers,black,date,28,24,rain,0.85,0.862
blouse,yellow,jeans,burgundy,sneakers,orange,date,18,15,rain,0.867,0.725
sweater,beige,leggings,yellow,boots,black,sport,10,11,sunny,0.817,0.658
blazer,yellow,sweatpants,beige,boots,navy,business,8,6,sunny,0.867,0.779
hoodie,yellow,shorts,white,loafers,purple,casual,18,20,sunny,0.817,0.789
polo,burgundy,jeans,purple,sneakers,red,party,25,30,sunny,0.9,0.629
t-shirt,yellow,jeans,blue,loafers,brown,sport,18,15,rain,0.817,0.627
blazer,navy,leggings,gray,loafers,pink,formal,8,8,sunny,0.867,0.736
sweater,orange,leggings,white,boots,red,date,10,8,sunny,0.817,0.791
dress,navy,none,none,loafers,burgundy,formal,5,-3,snow,0.817,0.6
sweater,beige,leggings,gray,loafers,beige,business,8,3,rain,0.817,0.758
dress,yellow,none,none,oxfords,orange,sport,20,18,sunny,0.817,0.55
dress,burgundy,none,none,oxfords,brown,casual,32,37,sunny,0.667,0.762
tank-top,purple,skirt,black,loafers,burgundy,sport,25,20,rain,0.917,0.694
blouse,black,skirt,gray,sandals,black,formal,25,29,sunny,1.0,0.844
dress,yellow,none,none,sneakers,burgundy,sport,20,19,cloudy,0.817,0.689
hoodie,blue,leggings,burgundy,boots,black,date,18,17,sunny,0.817,0.692
blouse,navy,sweatpants,purple,heels,green,business,18,17,cloudy,0.867,0.736
blouse,green,leggings,black,boots,gray,formal,5,6,cloudy,0.867,0.729
blouse,yellow,shorts,purple,sneakers,red,casual,15,13,cloudy,0.867,0.806
hoodie,green,trousers,white,loafers,navy,sport,10,8,cloudy,0.817,0.659
cardigan,navy,skirt,gray,loafers,black,business,5,3,cloudy,0.867,0.77
polo,purple,leggings,brown,sneakers,gray,casual,10,8,sunny,0.867,0.734
polo,yellow,trousers,burgundy,sneakers,orange,date,32,31,rain,0.8,0.666
blouse,brown,leggings,burgundy,loafers,pink,party,28,29,sunny,0.817,0.698
blazer,red,jeans,burgundy,heels,purple,party,15,15,sunny,0.867,0.791
cardigan,gray,skirt,pink,loafers,blue,sport,18,17,cloudy,0.867,0.6
polo,orange,shorts,blue,heels,orange,sport,28,29,sunny,0.917,0.731
polo,gray,trousers,black,boots,black,sport,20,17,rain,0.867,0.675
blouse,gray,sweatpants,black,loafers,navy,formal,20,21,sunny,0.867,0.757
blouse,navy,skirt,black,boots,yellow,sport,5,0,snow,0.867,0.463
cardigan,orange,trousers,orange,sandals,blue,party,15,16,sunny,0.867,0.718
cardigan,gray,trousers,pink,oxfords,black,party,15,16,sunny,0.867,0.739
shirt,purple,jeans,orange,loafers,purple,business,18,17,sunny,0.867,0.801
cardigan,beige,skirt,red,sandals,beige,date,22,20,rain,0.867,0.682
blazer,purple,skirt,red,sandals,white,formal,28,29,cloudy,0.867,0.711
polo,red,trousers,black,oxfords,black,party,20,19,sunny,0.867,0.763
sweater,black,jeans,beige,sneakers,white,sport,10,8,cloudy,0.817,0.708
cardigan,white,sweatpants,pink,heels,gray,casual,5,7,cloudy,0.867,0.726
cardigan,gray,leggings,navy,oxfords,navy,sport,12,10,sunny,0.867,0.704
tank-top,green,shorts,gray,oxfords,gray,casual,15,15,cloudy,0.767,0.657
polo,pink,shorts,white,loafers,blue,formal,25,24,rain,0.917,0.688
cardigan,beige,jeans,navy,boots,brown,sport,5,-2,snow,0.867,0.637
blouse,purple,leggings,blue,loafers,orange,casual,8,6,cloudy,0.867,0.795
blouse,beige,skirt,green,sneakers,black,casual,18,20,sunny,0.867,0.829
t-shirt,gray,skirt,white,heels,white,sport,5,1,snow,0.817,0.47
blouse,red,shorts,green,sneakers,burgundy,sport,32,37,sunny,1.0,0.738
t-shirt,navy,shorts,beige,sandals,gray,business,25,27,sunny,1.0,0.733
blouse,burgundy,jeans,red,loafers,burgundy,party,28,26,cloudy,0.817,0.692
dress,gray,none,none,boots,pink,party,12,10,sunny,0.817,0.741
dress,red,none,none,loafers,black,date,25,24,cloudy,0.717,0.817
t-shirt,burgundy,jeans,white,boots,gray,sport,5,3,cloudy,0.817,0.718
hoodie,blue,jeans,red,boots,purple,party,22,25,sunny,0.817,0.625
t-shirt,black,leggings,red,loafers,navy,business,28,29,cloudy,0.817,0.732
polo,blue,jeans,yellow,loafers,beige,casual,32,33,sunny,0.817,0.779
t-shirt,orange,leggings,navy,oxfords,white,business,10,12,cloudy,0.817,0.757
blouse,pink,skirt,blue,heels,yellow,party,10,11,cloudy,0.867,0.784
sweater,burgundy,sweatpants,navy,boots,navy,casual,20,18,rain,0.817,0.788
t-shirt,beige,shorts,beige,sneakers,black,business,32,28,rain,1.0,0.599
dress,red,none,none,loafers,navy,date,22,21,cloudy,0.817,0.76
hoodie,pink,leggings,gray,oxfords,brown,casual,10,10,sunny,0.817,0.766
shirt,purple,skirt,pink,loafers,green,date,25,20,rain,0.867,0.778
dress,black,none,none,sneakers,white,formal,32,31,cloudy,0.8,0.805
sweater,white,trousers,gray,boots,brown,formal,18,19,sunny,0.817,0.737
sweater,pink,trousers,orange,loafers,white,casual,12,10,rain,0.817,0.796
blazer,red,jeans,pink,sneakers,white,party,32,31,rain,0.767,0.637
dress,blue,none,none,boots,brown,sport,22,22,cloudy,0.817,0.559
dress,blue,none,none,boots,red,party,8,10,sunny,0.817,0.703
hoodie,navy,skirt,purple,sneakers,white,formal,18,16,rain,0.817,0.582
blouse,navy,shorts,brown,boots,pink,formal,15,17,sunny,0.867,0.712
t-shirt,gray,shorts,black,heels,burgundy,sport,32,32,cloudy,0.917,0.816
blazer,white,trousers,purple,oxfords,burgundy,party,18,19,sunny,0.867,0.704
blouse,pink,trousers,pink,heels,red,date,10,8,sunny,0.867,0.725
dress,burgundy,none,none,loafers,beige,formal,12,14,cloudy,0.817,0.807
t-shirt,white,jeans,green,heels,white,casual,22,19,rain,0.817,0.773
dress,gray,none,none,sneakers,purple,casual,18,19,cloudy,0.817,0.764
dress,orange,none,none,oxfords,yellow,date,18,16,sunny,0.817,0.707
dress,orange,none,none,sandals,green,date,25,28,sunny,0.8,0.797
t-shirt,white,shorts,black,oxfords,yellow,business,25,21,rain,0.867,0.672
blouse,gray,trousers,blue,sneakers,purple,business,15,14,cloudy,0.867,0.786
t-shirt,orange,jeans,navy,heels,navy,sport,18,17,sunny,0.817,0.665
cardigan,navy,shorts,orange,oxfords,gray,casual,18,18,cloudy,0.867,0.781
cardigan,black,skirt,navy,boots,white,business,22,25,sunny,0.867,0.731
tank-top,pink,skirt,navy,sandals,pink,date,32,33,sunny,1.0,0.799
sweater,gray,skirt,white,loafers,burgundy,casual,10,8,cloudy,0.817,0.741
hoodie,blue,skirt,purple,sneakers,green,sport,25,24,cloudy,0.733,0.673
blazer,navy,jeans,red,sneakers,white,casual,10,9,rain,0.867,0.883
sweater,pink,jeans,blue,boots,black,formal,12,11,cloudy,0.817,0.646
blouse,white,skirt,black,sandals,navy,business,15,16,sunny,0.867,0.768
t-shirt,purple,jeans,navy,loafers,brown,casual,32,34,cloudy,0.817,0.822
blouse,yellow,trousers,navy,oxfords,pink,date,5,7,cloudy,0.867,0.736
shirt,beige,leggings,yellow,sneakers,yellow,formal,15,13,sunny,0.867,0.683
tank-top,purple,leggings,green,sandals,brown,business,25,27,cloudy,0.9,0.657
blazer,black,shorts,beige,oxfords,blue,formal,25,30,sunny,0.733,0.683
sweater,black,skirt,pink,sneakers,yellow,sport,8,6,rain,0.817,0.539
blouse,brown,leggings,white,loafers,black,formal,2,-1,rain,0.833,0.684
polo,yellow,jeans,white,oxfords,burgundy,party,32,34,sunny,0.767,0.715
hoodie,brown,skirt,brown,heels,blue,date,15,16,sunny,0.817,0.672
tank-top,black,shorts,white,heels,white,casual,28,23,rain,0.917,0.824
blouse,pink,leggings,white,loafers,brown,sport,22,23,cloudy,0.867,0.654
blouse,orange,leggings,beige,sneakers,white,formal,15,13,sunny,0.867,0.69
tank-top,blue,jeans,red,boots,gray,sport,18,14,rain,0.767,0.664
tank-top,white,jeans,purple,boots,white,party,18,20,cloudy,0.767,0.692
dress,pink,none,none,sandals,blue,party,28,24,rain,0.8,0.73
blazer,burgundy,trousers,burgundy,sandals,black,business,32,35,sunny,0.667,0.738
t-shirt,blue,jeans,gray,sneakers,pink,sport,22,27,sunny,0.817,0.711
dress,purple,none,none,heels,blue,date,8,9,sunny,0.817,0.655
polo,blue,trousers,yellow,loafers,beige,party,8,7,cloudy,0.867,0.613
polo,yellow,skirt,burgundy,sneakers,black,formal,22,17,rain,0.867,0.685
dress,black,none,none,heels,red,party,28,31,sunny,0.717,0.882
hoodie,navy,skirt,orange,sneakers,navy,casual,28,29,sunny,0.733,0.76
tank-top,white,jeans,white,boots,gray,sport,10,5,rain,0.767,0.636
t-shirt,orange,leggings,beige,sneakers,navy,casual,18,15,rain,0.817,0.838
blazer,burgundy,jeans,black,loafers,burgundy,formal,10,10,cloudy,0.867,0.802
t-shirt,purple,trousers,navy,sneakers,orange,business,25,26,cloudy,0.8,0.713
shirt,black,sweatpants,black,boots,black,formal,18,20,sunny,0.867,0.755
dress,navy,none,none,loafers,pink,date,20,21,cloudy,0.817,0.758
sweater,orange,sweatpants,navy,oxfords,burgundy,sport,12,13,sunny,0.817,0.655
polo,yellow,jeans,black,boots,black,date,20,21,cloudy,0.867,0.721
polo,white,leggings,red,heels,yellow,party,15,10,rain,0.867,0.762
sweater,brown,skirt,navy,heels,orange,date,22,24,cloudy,0.817,0.764
cardigan,beige,shorts,pink,heels,black,business,22,23,sunny,0.867,0.684
shirt,red,leggings,black,boots,pink,business,10,8,sunny,0.867,0.758
sweater,brown,shorts,gray,heels,burgundy,party,22,24,sunny,0.817,0.693
dress,green,none,none,sneakers,yellow,business,28,31,sunny,0.8,0.699
blazer,navy,sweatpants,navy,sneakers,blue,party,8,4,rain,0.867,0.567
shirt,orange,trousers,green,sneakers,purple,party,10,8,sunny,0.867,0.628
tank-top,navy,leggings,gray,sneakers,black,business,25,28,sunny,0.9,0.701
t-shirt,blue,jeans,brown,loafers,gray,business,25,26,sunny,0.817,0.732
cardigan,green,shorts,purple,loafers,white,casual,20,18,cloudy,0.867,0.772
tank-top,brown,skirt,yellow,heels,purple,formal,28,29,sunny,0.917,0.79
t-shirt,white,trousers,yellow,boots,brown,sport,15,13,cloudy,0.817,0.605
shirt,yellow,trousers,blue,sneakers,burgundy,casual,2,-1,rain,0.833,0.701
t-shirt,blue,shorts,gray,sandals,orange,sport,25,22,rain,1.0,0.812
dress,burgundy,none,none,loafers,burgundy,party,20,19,sunny,0.817,0.761
dress,black,none,none,heels,green,formal,18,13,rain,0.817,0.785
dress,pink,none,none,loafers,red,party,20,20,sunny,0.817,0.717
tank-top,black,shorts,purple,sneakers,yellow,sport,32,37,sunny,1.0,0.877
cardigan,gray,skirt,pink,oxfords,blue,casual,22,20,rain,0.867,0.732
blazer,navy,jeans,yellow,sandals,black,formal,22,27,sunny,0.867,0.58
blouse,red,trousers,black,oxfords,black,party,22,27,sunny,0.867,0.824
t-shirt,pink,jeans,orange,oxfords,purple,casual,12,10,rain,0.817,0.769
t-shirt,navy,shorts,black,sneakers,blue,sport,15,15,cloudy,0.817,0.784
t-shirt,gray,jeans,red,heels,blue,sport,2,1,cloudy,0.6,0.522
shirt,red,trousers,black,oxfords,navy,formal,5,-1,snow,0.867,0.788
tank-top,gray,skirt,green,boots,red,party,18,16,cloudy,0.767,0.688
dress,navy,none,none,sandals,orange,date,25,27,cloudy,0.8,0.78
t-shirt,navy,skirt,blue,loafers,green,formal,20,19,sunny,0.817,0.742
t-shirt,white,leggings,burgundy,sandals,white,business,28,29,sunny,0.9,0.699
blazer,burgundy,sweatpants,green,heels,burgundy,business,18,13,rain,0.867,0.72
dress,purple,none,none,sneakers,burgundy,date,5,3,cloudy,0.817,0.642
dress,blue,none,none,sneakers,gray,casual,32,36,sunny,0.8,0.844
shirt,burgundy,jeans,purple,loafers,white,casual,10,6,rain,0.867,0.781
sweater,white,trousers,pink,loafers,navy,date,12,7,rain,0.817,0.757
blazer,navy,trousers,black,sneakers,gray,formal,22,21,cloudy,0.867,0.803
blouse,black,jeans,black,loafers,pink,formal,10,10,cloudy,0.867,0.73
shirt,white,skirt,white,sandals,burgundy,business,22,18,rain,0.867,0.739
dress,green,none,none,heels,blue,party,12,11,sunny,0.817,0.713
dress,orange,none,none,loafers,black,formal,32,35,sunny,0.717,0.801
hoodie,blue,leggings,white,oxfords,white,casual,28,26,rain,0.5,0.751
polo,purple,trousers,gray,loafers,yellow,casual,20,21,sunny,0.867,0.799
dress,navy,none,none,boots,burgundy,date,18,16,sunny,0.817,0.795
blazer,blue,trousers,purple,sneakers,red,business,12,13,cloudy,0.867,0.765
blouse,navy,sweatpants,pink,sneakers,gray,business,12,12,sunny,0.867,0.733
dress,beige,none,none,sneakers,purple,date,2,-5,snow,0.7,0.568
shirt,black,skirt,burgundy,sneakers,red,date,12,7,rain,0.867,0.786
dress,black,none,none,loafers,gray,formal,18,17,sunny,0.817,0.81
tank-top,pink,trousers,navy,loafers,green,formal,25,29,sunny,0.717,0.745
tank-top,white,skirt,brown,loafers,white,casual,25,28,sunny,0.917,0.815
polo,yellow,shorts,burgundy,loafers,gray,sport,5,0,snow,0.867,0.526
tank-top,green,skirt,navy,sneakers,gray,business,28,25,rain,1.0,0.638
blouse,red,shorts,blue,sandals,gray,sport,25,23,cloudy,1.0,0.726
shirt,green,jeans,white,loafers,brown,date,12,12,sunny,0.867,0.801
